日期,姓名,任务,任务种类,描述,时间,时间和日期
2017-11-01,大西瓜,你的每天炒币经历,错误总结,大忌追赶杀跌,与时间做朋友,2017-11-01 11:16
2017-11-01,guohwa,说说你认为今天会升的币,今天感觉ltc和eth至少有一个会拉升,,2017-11-01 11:23
2017-11-01,,说说你认为今天会升的币,req,,2017-11-01 11:30
2017-11-01,one piece,你的每天炒币经历,错误总结,比特蹲着了 等8300出一部分,,2017-11-01 12:22
2017-11-01,乌,你的每天炒币经历,错误总结,犹豫了就去晒太阳，,,2017-11-01 12:24
2017-11-01,乌,你的每天炒币经历,错误总结,今天要不要拆100pay，跟着做短，反正也不多，准备尝试，,,2017-11-01 12:27
2017-11-01,沛,你的每天炒币经历,错误总结,等待,一直关注,2017-11-01 12:42
2017-11-01,袁寅,你的每天炒币经历,错误总结,每天报道,,2017-11-01 13:47
2017-11-01,,你的每天炒币经历,错误总结,zrx,卖出去早了,2017-11-01 18:34
2017-11-01,亞歪先生,你的每天炒币经历,错误总结,不能太有信仰,有利润就出,2017-11-01 18:57
2017-11-01,天空说,你的每天炒币经历,错误总结,等待自己空闲时间到来,,2017-11-01 19:05
2017-11-01,那朵,说说你认为今天会升的币,btc,,2017-11-01 21:04
2017-11-01,回眸已是千年,你的每天炒币经历,错误总结,入omg,,2017-11-01 21:04
2017-11-01,阳光明媚,你的每天炒币经历,错误总结,错误总结,风雨中坚守,2017-11-01 21:05
2017-11-01,Alanz,你的每天炒币经历,错误总结,还在学习中,,2017-11-01 21:07
2017-11-01,亮子,你的每天炒币经历,错误总结,分阶段埋伏很重要,以前买什么直接全部梭哈，直到遇到群主才知道分批买入。人的心理都是贪婪的。,2017-11-01 21:09
2017-11-01,金融_李坤田_金生水起,说说你认为今天会升的币,摸脉，同理，庄家在狡猾也拥有硬性的支撑点，边缘点，躲中医有不掉的，每天几次的变换，找到两次比较有把握的出手，突发信息的干扰我没有经验，继续积累，我会找到它,今天第一次自己判断ok上涨是正确的，赚12个点出了，现在刚进去继续开多，12点前必须出货,2017-11-01 21:13
2017-11-01,杭,你的每天炒币经历,错误总结,学习,,2017-11-01 21:24
2017-11-01,Robin ,你的每天炒币经历,错误总结,患得患失,买完离手，谨记不要频繁换仓,2017-11-01 21:25
2017-11-01,卫国15546120721,你的每天炒币经历,错误总结,事实是我没有时间看币呀,,2017-11-01 21:39
2017-11-01,桃果儿,你的每天炒币经历,错误总结,屯币,山寨币，每天都买一点，存着好过冬,2017-11-01 21:53
2017-11-01,LEE,说说你认为今天会升的币,打卡,,2017-11-01 22:00
2017-11-01,朱公子,你的每天炒币经历,错误总结,今天很好,,2017-11-01 22:25
2017-11-02,______空巷°,你的每天炒币经历,错误总结,没啥好说的等待是最好的机会,国内好币量子，蚂蚁,2017-11-02 00:10
2017-11-02,么二,你的每天炒币经历,错误总结,坚持,坚持就是胜利！,2017-11-02 01:31
2017-11-02,,你的每天炒币经历,错误总结,研究,每天记录一点,2017-11-02 01:31
2017-11-02,李志成（Tony Li）,你的每天炒币经历,错误总结,打卡,新高，打脸～,2017-11-02 02:50
2017-11-02,亞歪先生,你的每天炒币经历,错误总结,要经得住诱惑，守得住寂寞,时刻提醒自己每天改变一点点,2017-11-02 02:53
2017-11-02,像小丑一样卑微的活着！,你的每天炒币经历,错误总结,永远坐等明天,,2017-11-02 03:00
2017-11-02,天骐【Tim】,你的每天炒币经历,错误总结,必胜,再接再厉,2017-11-02 03:44
2017-11-02,我是天角崖边的小火车,你的每天炒币经历,错误总结,注意休息,,2017-11-02 03:55
2017-11-02,Jack,你的每天炒币经历,错误总结,打卡,抄底偏高,2017-11-02 04:03
2017-11-02,阿宝,说说你认为今天会升的币,EOS,,2017-11-02 04:23
2017-11-02,金融_李坤田_金生水起,你的每天炒币经历,错误总结,继续同步同频,马大哈成为过去，精准是修为的主旋律,2017-11-02 04:41
2017-11-02,淡雅,你的每天炒币经历,错误总结,亏损中,不贪，不追高,2017-11-02 04:52
2017-11-02,无言,你的每天炒币经历,错误总结,过程中去总结。,,2017-11-02 05:22
2017-11-02,雪丽 【阿胶燕窝糕、阿胶糕】,你的每天炒币经历,错误总结,追高了！,,2017-11-02 05:30
2017-11-02,Tmm Geek 币价神算-准确率%90,你的每天炒币经历,错误总结,总结,昨天忘记加仓EOS, 有时候就得行动才有收获,2017-11-02 05:33
2017-11-02,郝迪,你的每天炒币经历,错误总结,跟着趋势走,,2017-11-02 05:45
2017-11-02,xxxc,你的每天炒币经历,错误总结,总结学习,要等机会 不要盲目买什么 omg买跌就是因为没有等,2017-11-02 05:58
2017-11-02,______空巷°,你的每天炒币经历,错误总结,学习,新的一天，新的开始，每天不断的进步才能不被社会锁淘汰，加油,2017-11-02 06:03
2017-11-02,微笑^0^,你的每天炒币经历,错误总结,盈利的时候没有抛掉，结果跌了，怎么克服？,注意注意注意,2017-11-02 06:06
2017-11-02,微笑^0^,你的每天炒币经历,错误总结,经常佩服自己正利润变成负利润，晕！,一定要努力克服一下！,2017-11-02 06:07
2017-11-02,一生青贤,你的每天炒币经历,错误总结,没有结果,,2017-11-02 06:08
2017-11-02,灵感,你的每天炒币经历,错误总结,急,,2017-11-02 06:16
2017-11-02,雪大大,你的每天炒币经历,错误总结,每天打卡,不恋山寨,2017-11-02 06:17
2017-11-02,演演,你的每天炒币经历,错误总结,莱特币，,坚持莱特币，，持有莱特币！,2017-11-02 06:21
2017-11-02,胡联军,你的每天炒币经历,错误总结,价值投资,,2017-11-02 06:22
2017-11-02,精雅花边,你的每天炒币经历,错误总结,打卡，link被套，等解套,,2017-11-02 06:24
2017-11-02,dansoul,说说你认为今天会升的币,eos,坚持,2017-11-02 06:40
2017-11-02,小胖熊,你的每天炒币经历,错误总结,昨天抛的eos少赚50％，换的omg亏了10％，操作不当啊,,2017-11-02 06:43
2017-11-02,Alanz,你的每天炒币经历,错误总结,再次感受风云变幻，每个上涨和下跌都那么措不及防，只有对大趋势有足够的理解和信心，才能不迷失方向,,2017-11-02 06:43
2017-11-01,Alanz,说说你认为今天会升的币,BCH,,2017-11-02 06:45
2017-11-02,金木水火土,你的每天炒币经历,错误总结,3000个eso,成本在10元期待腾飞！,,2017-11-02 06:55
2017-11-02,鸣谦,你的每天炒币经历,错误总结,req被套,,2017-11-02 07:03
2017-11-02,青木Jerry,你的每天炒币经历,错误总结,坚持,,2017-11-02 07:11
2017-11-02,,你的每天炒币经历,错误总结,mana期待解套，ico来的,,2017-11-02 07:11
2017-11-02,回眸已是千年,你的每天炒币经历,错误总结,走起,,2017-11-02 07:13
2017-11-02,魏一广,你的每天炒币经历,错误总结,学习,,2017-11-02 07:13
2017-11-02,坤,你的每天炒币经历,错误总结,没拿住eos，只赚了10%,不贪,2017-11-02 07:15
2017-11-02,金融_李坤田_金生水起,你的每天炒币经历,错误总结,每天只赚一点点,高手死于杠杆，所以我不是高手，现货已经买进，耐心等待，万物总有规律,2017-11-02 07:16
2017-11-02,Robin ,你的每天炒币经历,错误总结,远离期货,你只有一个100%,2017-11-02 07:20
2017-11-02,水晶石,你的每天炒币经历,错误总结,抄底过急，卖出过早,即来之则安之,2017-11-02 07:31
2017-11-02,依依,你的每天炒币经历,错误总结,手上的币都基本上是众筹的，本金己回基本上留着长线,,2017-11-02 07:32
2017-11-02,原来是微信,你的每天炒币经历,错误总结,多看少动,,2017-11-02 07:33
2017-11-02,A01  上官寂涵,你的每天炒币经历,错误总结,学习,,2017-11-02 07:55
2017-11-02,guohwa,你的每天炒币经历,错误总结,这两天一直比较后悔的是三天前看这里比特币升了，就卖成USDT了，现在看来一方面是卖早了，另一方面好多山寨抄底需要比特币，但是手头却没有比特币了,下手之前多想想，不要太冲动，冲动是魔鬼,2017-11-02 08:03
2017-11-02,朱耘^O^,你的每天炒币经历,错误总结,打卡,,2017-11-02 08:11
2017-11-02,亮子,你的每天炒币经历,错误总结,有点讨厌比特币啦,,2017-11-02 08:14
2017-11-02,白雪,你的每天炒币经历,错误总结,没定,,2017-11-02 08:15
2017-11-02,沛,你的每天炒币经历,错误总结,比特币,实在猛，啥时是山寨币的天下,2017-11-02 08:15
2017-11-02,朱公子,你的每天炒币经历,错误总结,打卡,,2017-11-02 08:15
2017-11-02,朱公子,你的每天炒币经历,错误总结,错过了eos,,2017-11-02 08:16
2017-11-02,小诸葛,你的每天炒币经历,错误总结,EOS,每天都进步一点,2017-11-02 08:29
2017-11-02,回到原点,你的每天炒币经历,错误总结,说多了都是泪,,2017-11-02 08:40
2017-11-02,笑傲中原,你的每天炒币经历,错误总结,急功近利,,2017-11-02 08:49
2017-11-02,Ocean Heaven,说说你认为今天会升的币,量子链,,2017-11-02 08:49
2017-11-02,吃瓜群众,你的每天炒币经历,错误总结,坚持，SNT，eos,,2017-11-02 08:50
2017-11-02,金灶沐,你的每天炒币经历,错误总结,这比特币给个建议,,2017-11-02 08:54
2017-11-02,,你的每天炒币经历,错误总结,太着急下手了，沉不住气！,,2017-11-02 09:07
2017-11-02,,说说你认为今天会升的币,eos 能上10啊,,2017-11-02 09:10
2017-11-02,微笑^0^,说说你认为今天会升的币,把握不好出入点位！,请赐教！,2017-11-02 09:10
2017-11-02,,你的每天炒币经历,错误总结,太喜欢跟风了，有的时候也应该相信自己的判断，不能什么都听别人的，追涨杀跌！,,2017-11-02 09:13
2017-11-02,Tiffany 德心應手,你的每天炒币经历,错误总结,Bitcoin,目標USD7500,2017-11-02 09:15
2017-11-02,方格,说说你认为今天会升的币,升,淡定,2017-11-02 09:53
2017-11-02,Г 魂牽夢繞,你的每天炒币经历,错误总结,坚持,别想抄底，什么时候都不是底,2017-11-02 10:00
2017-11-02,夜空中最亮的星,你的每天炒币经历,错误总结,坚持就是爽,,2017-11-02 10:00
2017-11-02,么么哒,你的每天炒币经历,错误总结,耐心,,2017-11-02 10:01
2017-11-02,亞歪先生,你的每天炒币经历,错误总结,不管涨跌心态很重要，不要盲目,遇事冷静机智果断,2017-11-02 10:01
2017-11-02,糖糖糖果,你的每天炒币经历,错误总结,omg亏,坚持,2017-11-02 10:03
2017-11-02,Jacky 1-10,你的每天炒币经历,错误总结,买了TNT、coss一路下跌。割了公信宝换了ETH做的个多单，心酸。完美错过行情，GXS割完换成BTC不换成ETH都转20%,追随自己的内心，看大周期。,2017-11-02 10:04
2017-11-02,Jacky 1-10,你的每天炒币经历,错误总结,前提EOS抬头的时候3.7CNY嫌贵没买，妈的。,裸K和量能，这次没有坚持。真心无语，消息面太猛了。李狗老猫，妈的心太TM黑了。,2017-11-02 10:07
2017-11-02,LEE,你的每天炒币经历,错误总结,打卡,,2017-11-02 10:15
2017-11-02,彬（源）,你的每天炒币经历,错误总结,evx入早了,要有耐心等待,2017-11-02 10:15
2017-11-02,one piece,你的每天炒币经历,错误总结,错过eos,,2017-11-02 10:19
2017-11-02,那朵,你的每天炒币经历,错误总结,btc,,2017-11-02 10:20
2017-11-02,冰冰-随行付pos-18007388073,你的每天炒币经历,错误总结,Eos出早了，每次都是卖了就涨，买了就跌,,2017-11-02 10:23
2017-11-02,精雅花边,你的每天炒币经历,错误总结,打卡，放飞自我,,2017-11-02 10:24
2017-11-02,币盛,你的每天炒币经历,错误总结,1,,2017-11-02 10:27
2017-11-02,陈春霖,你的每天炒币经历,错误总结,炒币赚比特币,,2017-11-02 10:52
2017-11-02,阿！大老虎,说说你认为今天会升的币,eth,下午会涨,2017-11-02 10:53
2017-11-02,MIKO,你的每天炒币经历,错误总结,红烧肉,涨涨涨,2017-11-02 11:39
2017-11-02,香如故,你的每天炒币经历,错误总结,以太踏空,没有及时补eos,2017-11-02 11:40
2017-11-02,,你的每天炒币经历,错误总结,eos在车上很开心,不要追涨杀跌,2017-11-02 11:53
2017-11-02,tiff,说说你认为今天会升的币,btc,,2017-11-02 12:10
2017-11-02,今生缘～！,你的每天炒币经历,错误总结,今天炒作粗心，忘记看成交量，错过团队回购,每天静心学习，需要提升自己,2017-11-02 13:42
2017-11-02,Tiffany 德心應手,说说你认为今天会升的币,Btc,Rocket ,2017-11-02 16:08
2017-11-02,海纳百川,说说你认为今天会升的币,eos,有底仓，留着不动了,2017-11-02 16:37
2017-11-02,天空说,你的每天炒币经历,错误总结,今天很累，但是学习不能停,,2017-11-02 16:40
2017-11-02,淡雅,你的每天炒币经历,错误总结,转错币平台还没退回来,以后做事要小心谨慎,2017-11-02 16:42
2017-11-02,那朵,你的每天炒币经历,错误总结,抄底抄到山腰,,2017-11-02 16:44
2017-11-02,精雅花边,说说你认为今天会升的币,抄底抄失败了,,2017-11-02 16:50
2017-11-02,亮子,你的每天炒币经历,错误总结,抄底抄半山腰,,2017-11-02 16:51
2017-11-02,小诸葛,你的每天炒币经历,错误总结,BTC拿住了,,2017-11-02 16:53
2017-11-02,小诸葛,说说你认为今天会升的币,Btc,,2017-11-02 16:54
2017-11-02,朱公子,说说你认为今天会升的币,req,,2017-11-02 17:00
2017-11-02,Tracy,你的每天炒币经历,错误总结,坚持,一如既往的坚持持币，波段不会，看了今天的钱包鼓鼓的又跌没了，还是有点伤心的，不过继续捂着吧。,2017-11-02 17:01
2017-11-02,天骐【Tim】,你的每天炒币经历,错误总结,坚持,张涨涨,2017-11-02 17:01
2017-11-02,金融_李坤田_金生水起,说说你认为今天会升的币,比特币,选币子还是会错，坚持主流币,2017-11-02 17:20
2017-11-02,Jacky 1-10,说说你认为今天会升的币,ETH,,2017-11-02 17:33
2017-11-02,卫国15546120721,你的每天炒币经历,错误总结,我也就会长期持有了，有时间学做波段吧,,2017-11-02 17:35
2017-11-02,玖月,说说你认为今天会升的币,lrc,,2017-11-02 17:42
2017-11-02,白雪,你的每天炒币经历,错误总结,定,,2017-11-02 17:43
2017-11-02,,你的每天炒币经历,错误总结,必须打,必须熬,2017-11-02 17:54
2017-11-02,朱耘^O^,你的每天炒币经历,错误总结,打卡,,2017-11-02 19:32
2017-11-02,方格,你的每天炒币经历,错误总结,贪得无厌,调整好心态,2017-11-02 21:11
2017-11-02,宝和,你的每天炒币经历,错误总结,努力,,2017-11-02 22:01
2017-11-02,one piece,你的每天炒币经历,错误总结,错过btm,,2017-11-02 23:46
2017-11-03,心简单，世界就简单,你的每天炒币经历,错误总结,坚持,,2017-11-03 01:56
2017-11-03,天骐【Tim】,你的每天炒币经历,错误总结,坚持,必胜,2017-11-03 01:57
2017-11-03,大海,说说你认为今天会升的币,Pst,,2017-11-03 02:03
2017-11-03,大海,你的每天炒币经历,错误总结,Eos,,2017-11-03 02:03
2017-11-03,亞歪先生,你的每天炒币经历,错误总结,敢于面对自己当初的选择,,2017-11-03 02:03
2017-11-03,大海,你的每天炒币经历,错误总结,量子链,,2017-11-03 02:04
2017-11-03,一生青贤,你的每天炒币经历,错误总结,比特定价真的很难看,,2017-11-03 02:07
2017-11-03,LEE,你的每天炒币经历,错误总结,打卡,,2017-11-03 02:44
2017-11-03,沛,你的每天炒币经历,错误总结,坚持,打卡,2017-11-03 02:45
2017-11-03,宝和,你的每天炒币经历,错误总结,努力,,2017-11-03 02:52
2017-11-03,李志成（Tony Li）,你的每天炒币经历,错误总结,加油,加油,2017-11-03 02:53
2017-11-03,Jack,你的每天炒币经历,错误总结,打卡,,2017-11-03 03:12
2017-11-02,Jack,你的每天炒币经历,错误总结,打卡,,2017-11-03 03:13
2017-11-01,Jack,你的每天炒币经历,错误总结,打卡,,2017-11-03 03:13
2017-11-03,水晶石,你的每天炒币经历,错误总结,坚持,坚持,2017-11-03 05:13
2017-11-03,阿宝,你的每天炒币经历,错误总结,按兵不动,,2017-11-03 05:19
2017-11-03,雪大大,你的每天炒币经历,错误总结,坚持,不放弃,2017-11-03 05:21
2017-11-03,阿宝,说说你认为今天会升的币,可以埋伏点eth吧,,2017-11-03 05:29
2017-11-03,阿宝,你的每天炒币经历,错误总结,不会做波段,,2017-11-03 05:30
2017-11-03,Tmm Geek 币价神算-准确率%90,你的每天炒币经历,错误总结,总结错误,没成功预测到比特币这么疯，低估了它,2017-11-03 05:34
2017-11-03,,你的每天炒币经历,错误总结,eos自己本来想做波段的，哪知道给甩下车了,,2017-11-03 05:35
2017-11-03,依依,你的每天炒币经历,错误总结,看着手中的币一天天涨开心,,2017-11-03 05:37
2017-11-03,依依,你的每天炒币经历,错误总结,留着eos比原链大师红烧肉是明智的,,2017-11-03 05:42
2017-11-03,山高人为峰,你的每天炒币经历,错误总结,卖了btc,,2017-11-03 05:53
2017-11-03,xxxc,你的每天炒币经历,错误总结,打卡,,2017-11-03 05:53
2017-11-03,淡雅,你的每天炒币经历,错误总结,这两天没炒,多学习,2017-11-03 05:58
2017-11-03,坤,你的每天炒币经历,错误总结,市场变化太快,,2017-11-03 06:06
2017-11-03,回眸已是千年,你的每天炒币经历,错误总结,Eos,,2017-11-03 06:24
2017-11-03,灵感,你的每天炒币经历,错误总结,没分批,,2017-11-03 06:32
2017-11-03,Alanz,你的每天炒币经历,错误总结,上涨过程总想着高一点再卖 下跌时总想低一点再买,,2017-11-03 06:43
2017-11-03,那朵,你的每天炒币经历,错误总结,eos,,2017-11-03 07:25
2017-11-03,我是天角崖边的小火车,你的每天炒币经历,错误总结,Ven,,2017-11-03 07:31
2017-11-03,今生缘～！,你的每天炒币经历,错误总结,不追高，理性炒币,多学习,2017-11-03 07:38
2017-11-03,胡联军,你的每天炒币经历,错误总结,坚持价值投资,,2017-11-03 07:39
2017-11-03,Ocean Heaven,说说你认为今天会升的币,量子链,,2017-11-03 07:44
2017-11-03,演演,你的每天炒币经历,错误总结,瑞波,昨天入瑞波,2017-11-03 07:44
2017-11-03,朱耘^O^,你的每天炒币经历,错误总结,红烧肉,,2017-11-03 07:49
2017-11-03,夜空中最亮的星,你的每天炒币经历,错误总结,好好学习,,2017-11-03 07:52
2017-11-03,彬（源）,你的每天炒币经历,错误总结,关注,耐心等待,2017-11-03 07:53
2017-11-03,亮子,你的每天炒币经历,错误总结,估计主流不能再跌啦把,,2017-11-03 08:01
2017-11-03,A01  上官寂涵,你的每天炒币经历,错误总结,看看,,2017-11-03 08:09
2017-11-03,金融_李坤田_金生水起,你的每天炒币经历,错误总结,不知道,问心,2017-11-03 08:10
2017-11-03,Jacky 1-10,说说你认为今天会升的币,ETH,主流老二为何还不发力？,2017-11-03 08:37
2017-11-03,Tracy,你的每天炒币经历,错误总结,坚持,这次snt又跌回来了。我还是没卖，从爱西欧回本，剩下的币也穿越了牛熊了，我的第一个爱西欧，继续坚持。,2017-11-03 08:38
2017-11-03,青木Jerry,你的每天炒币经历,错误总结,pAY怎么看,,2017-11-03 08:49
2017-11-03,妮儿,你的每天炒币经历,错误总结,冲动,别冲动，要有自己观点,2017-11-03 08:51
2017-11-03,Tiffany 德心應手,你的每天炒币经历,错误总结,Btc,Go,2017-11-03 08:51
2017-11-03,朱公子,你的每天炒币经历,错误总结,打卡,,2017-11-03 08:54
2017-11-03,Andy,你的每天炒币经历,错误总结,持仓不动,持仓,2017-11-03 08:56
2017-11-03,海纳百川,你的每天炒币经历,错误总结,山寨只能坚持,继续修炼,2017-11-03 09:00
2017-11-03,么么哒,你的每天炒币经历,错误总结,没抄底,,2017-11-03 09:05
2017-11-03,么二,你的每天炒币经历,错误总结,早安,,2017-11-03 09:16
2017-11-03,雪丽 【阿胶燕窝糕、阿胶糕】,说说你认为今天会升的币,omg,要努力学习,2017-11-03 09:22
2017-11-03,币盛,你的每天炒币经历,错误总结,6,,2017-11-03 09:38
2017-11-03,冰冰-随行付pos-18007388073,你的每天炒币经历,错误总结,买了量子，着急了点，盼涨,,2017-11-03 09:39
2017-11-03,天空说,你的每天炒币经历,错误总结,一天天的忙碌,,2017-11-03 09:52
2017-11-03,Annie,你的每天炒币经历,错误总结,加油,加油,2017-11-03 10:01
2017-11-03,金木水火土,你的每天炒币经历,错误总结,关注,,2017-11-03 10:05
2017-11-03,原来是微信,你的每天炒币经历,错误总结,机会止赢,,2017-11-03 10:13
2017-11-03,糖糖糖果,你的每天炒币经历,错误总结,比特没接住,,2017-11-03 10:27
2017-11-03,,说说你认为今天会升的币,今天山寨币稍有回调,,2017-11-03 11:29
2017-11-03,,你的每天炒币经历,错误总结,omg在36元那没有接住 现在上来了,,2017-11-03 11:30
2017-11-03,,你的每天炒币经历,错误总结,req之前有点贪了,,2017-11-03 11:40
2017-11-03,沛,你的每天炒币经历,错误总结,想等红烧肉起来,,2017-11-03 12:53
2017-11-03,Robin ,你的每天炒币经历,错误总结,乱操作,宁可错过,2017-11-03 13:43
2017-11-03,歆.牵着土豆的手,你的每天炒币经历,错误总结,错过好多机会,坚持,2017-11-03 16:50
2017-11-03,云淡风轻,你的每天炒币经历,错误总结,好多良机在犹豫不觉中错过,,2017-11-03 19:49
2017-11-03,金融_李坤田_金生水起,你的每天炒币经历,错误总结,暂时没有,继续,2017-11-03 19:50
2017-11-03,LEE,你的每天炒币经历,错误总结,打卡,,2017-11-03 20:01
2017-11-03,LEE,说说你认为今天会升的币,打卡,,2017-11-03 20:02
2017-11-03,,你的每天炒币经历,错误总结,打,继续打,2017-11-03 20:05
2017-11-03,Г 魂牽夢繞,你的每天炒币经历,错误总结,努力,努力,2017-11-03 20:16
2017-11-03,歆.牵着土豆的手,你的每天炒币经历,错误总结,犹豫不决,瞎买,2017-11-03 23:15
2017-11-03,歆.牵着土豆的手,说说你认为今天会升的币,低了不敢接，追高了后悔,发现长线比短线好,2017-11-03 23:17
2017-11-03,guohwa,你的每天炒币经历,错误总结,卖早了BCC，这是今天犯的错误,,2017-11-03 23:46
2017-11-04,Tmm Geek 币价神算-准确率%90,你的每天炒币经历,错误总结,错误总结,昨天买了比原，应该买多点。有时候，投入越大收获越大,2017-11-04 07:09
2017-11-04,______空巷°,你的每天炒币经历,错误总结,错误总结,Evx追高了，不能贪，不能追高,2017-11-04 07:13
2017-11-04,依依,你的每天炒币经历,错误总结,有应用价值的币可以长线持有,坚持学习就会成功,2017-11-04 07:13
2017-11-04,我是天角崖边的小火车,你的每天炒币经历,错误总结,Ven,,2017-11-04 07:13
